x,y
18826, 82502
23611, 81616
21026, 76620
19450, 71947
22475, 68108
10831, 69623
17197, 69438
11943, 64684
13773, 64359
15494, 64482
18443, 63303
22116, 63121
25680, 63571
29900, 63946
32497, 63389
35991, 63166
38926, 61722
10966, 65027
11798, 60151
14282, 60294
17059, 60385
16261, 57530
18075, 57671
16015, 53892
18086, 53827
19553, 55581
9346, 49970
11745, 50646
14507, 50896
15805, 50873
17951, 50979
19897, 50459
11325, 48955
13263, 49224
14501, 49961
17428, 48942
12711, 47320
15486, 46856
7594, 43467
10019, 45133
11066, 43096
8747, 42390
11956, 41044
13380, 43066
15107, 42927
17567, 42139
8805, 39726
11206, 39360
12861, 39586
16009, 40356
17801, 40442
19169, 40490
3701, 36515
6807, 37259
9502, 36696
11618, 37442
13920, 38024
16418, 38490
18287, 38191
19170, 40497
12029, 36664
14917, 36838
17439, 37510
19246, 37099
3826, 32147
12247, 33423
14067, 34545
17507, 35580
19367, 35736
21755, 34875
248, 17893
2287, 22579
3730, 28051
5731, 24156
3551, 20493
6055, 21303
10613, 29780
13976, 31399
17356, 32149
19699, 33114
21774, 33956
16246, 31035
18571, 30771
21254, 31282
23309, 33008
13125, 26896
16685, 27733
18346, 29148
21612, 29318
13246, 25107
16469, 25368
19608, 25613
21759, 25980
14719, 21469
16748, 22059
19380, 22380
21651, 21878
23853, 22321
25884, 22215
14721, 18486
9125, 14616
10962, 14237
11208, 10955
12622, 15350
14814, 14498
14376, 11680
16120, 11871
16359, 15586
18051, 18920
19794, 15337
19864, 19144
19623, 26620
20200, 30633
22065, 31014
21772, 11987
21695, 15713
19784, 44918
22408, 43989
21954, 39877
21768, 60630
24337, 60822
26657, 60469
23273, 57574
25381, 57539
26570, 57456
23564, 54676
25229, 54381
27066, 54577
29299, 54968
23546, 51356
24868, 50984
22692, 47975
25332, 49436
27698, 49475
30261, 49384
29874, 54071
29828, 58334
31853, 58605
32066, 55684
31334, 53614
33390, 52016
30664, 51223
32129, 49336
24656, 46845
27024, 47886
29621, 47482
27313, 51599
23939, 44662
25428, 46033
28019, 45447
27368, 43576
23970, 39206
25608, 39446
28187, 39990
23892, 36747
26682, 36198
31886, 41382
34351, 39951
34319, 51618
36116, 48918
36061, 45480
37068, 40725
37908, 38724
41390, 38454
44164, 37416
45957, 39510
47409, 42198
49581, 41075
51140, 38955
52096, 37018
53474, 35397
54797, 33175
45244, 45302
45185, 50848
45300, 54491
42886, 58462
37516, 57142
24390, 35114
25018, 38910
27063, 40158
28931, 38909
23739, 34420
25828, 33592
28147, 33524
30912, 32806
24863, 31158
26928, 28746
23605, 28219
23924, 25535
25745, 18405
25757, 18404
24951, 14940
28523, 19027
31066, 19941
34453, 16563
32551, 30002
34825, 25869
36461, 20829
37410, 16093
38390, 11737
38890, 5972
38647, 1363
25991, 11082
27595, 8507
30402, 4337
34446, 2463
18046, 13151
21134, 18457
26685, 31343
13597, 45629
14361, 47142
17138, 45147
26281, 43832
9000, 56200
10000, 56200
11000, 56200
12000, 56200
13000, 56200
14000, 56200
9000, 54900
10000, 54900
11000, 54900
12000, 54900
13000, 54900
14000, 54900
9000, 53700
10000, 53700
11000, 53700
12000, 53700
13000, 53700
14000, 53700
